"fixed.acidity" "volatile.acidity" "citric.acid" "residual.sugar" "chlorides" "free.sulfur.dioxide" "total.sulfur.dioxide" "density" "pH" "sulphates" "alcohol" "quality" "colour"
"2825" 6.8 0.32 0.37 3.4 0.023 19 87 0.9902 3.14 0.53 12.7 6 "white"
"2829" 8.3 0.33 0.42 1.15 0.033 18 96 0.9911 3.2 0.32 12.4 3 "white"
"2832" 7.9 0.44 0.37 5.85 0.033 27 93 0.992 3.16 0.54 12.6 7 "white"
"2837" 7.3 0.24 0.39 3.6 0.024 35 116 0.9928 3.17 0.51 10.9 5 "white"
"2840" 7.9 0.14 0.28 1.8 0.041 44 178 0.9954 3.45 0.43 9.2 6 "white"
"2841" 7.4 0.18 0.42 2.1 0.036 33 187 0.9938 3.4 0.41 10.6 7 "white"
"2843" 7.1 0.44 0.37 2.7 0.041 35 128 0.9896 3.07 0.43 13.5 7 "white"
"2844" 6.4 0.26 0.22 5.1 0.037 23 131 0.9944 3.29 0.32 10.1 5 "white"
"2846" 8 0.2 0.4 5.2 0.055 41 167 0.9953 3.18 0.4 10.6 7 "white"
"2850" 5.3 0.26 0.23 5.15 0.034 48 160 0.9952 3.82 0.51 10.5 7 "white"
"2852" 5.6 0.245 0.32 1.1 0.047 24 152 0.9927 3.12 0.42 9.3 6 "white"
"2853" 7.3 0.25 0.41 1.8 0.037 52 165 0.9911 3.29 0.39 12.2 7 "white"
"2856" 7.3 0.18 0.65 1.4 0.046 28 157 0.9946 3.33 0.62 9.4 6 "white"
"2859" 6.2 0.21 0.38 6.8 0.036 64 245 0.9951 3.06 0.36 9.3 6 "white"
"2862" 7.3 0.18 0.65 1.4 0.046 28 157 0.9946 3.33 0.62 9.4 6 "white"
"2863" 9.6 0.29 0.46 1.45 0.039 77.5 223 0.9944 2.92 0.46 9.5 6 "white"
"2871" 8.1 0.5 0.47 1.1 0.037 23 126 0.9938 3.21 0.42 10.9 5 "white"
"2872" 7 0.39 0.31 5.3 0.169 32 162 0.9965 3.2 0.48 9.4 5 "white"
"2881" 7.7 0.27 0.34 1.8 0.028 26 168 0.9911 2.99 0.48 12.1 7 "white"
"2887" 8.3 0.21 0.4 1.6 0.032 35 110 0.9907 3.02 0.6 12.9 7 "white"
"2895" 7.5 0.23 0.32 9.2 0.038 54 191 0.9966 3.04 0.56 9.7 6 "white"
"2897" 7.3 0.42 0.38 6.8 0.045 29 122 0.9925 3.19 0.37 12.6 7 "white"
"2910" 5.2 0.365 0.08 13.5 0.041 37 142 0.997 3.46 0.39 9.9 6 "white"
"2912" 9.6 0.25 0.54 1.3 0.04 16 160 0.9938 2.94 0.43 10.5 5 "white"
"2915" 8.1 0.2 0.36 9.7 0.044 63 162 0.997 3.1 0.46 10 6 "white"
"2918" 6.4 0.15 0.31 1.1 0.044 25 96 0.9932 3.54 0.51 10.3 6 "white"
"2927" 6.8 0.26 0.33 1.5 0.047 44 167 0.9928 3.12 0.44 10.5 6 "white"
"2928" 5.2 0.37 0.33 1.2 0.028 13 81 0.9902 3.37 0.38 11.7 6 "white"
"2930" 8.3 0.21 0.41 2.2 0.05 24 108 0.994 2.85 0.45 9.5 5 "white"
"2934" 9 0.24 0.5 1.2 0.048 26 107 0.9918 3.21 0.34 12.4 6 "white"
"2940" 7.2 0.16 0.32 0.8 0.04 50 121 0.9922 3.27 0.33 10 6 "white"
"2954" 7.8 0.13 0.3 1.8 0.04 43 179 0.9955 3.43 0.41 9 5 "white"
"2955" 7.6 0.19 0.41 1.1 0.04 38 143 0.9907 2.92 0.42 11.4 5 "white"
"2956" 7.3 0.22 0.41 15.4 0.05 55 191 1 3.32 0.59 8.9 6 "white"
"2957" 6.3 0.29 0.4 6.5 0.039 43 167 0.9953 3.15 0.44 9.3 6 "white"
"2960" 6.2 0.12 0.26 5.7 0.044 56 158 0.9951 3.52 0.37 10.5 6 "white"
"2961" 6 0.13 0.28 5.7 0.038 56 189.5 0.9948 3.59 0.43 10.6 7 "white"
"2967" 7.6 0.27 0.24 3.8 0.058 19 115 0.9958 3.15 0.45 8.9 5 "white"
"2978" 6.9 0.28 0.3 1.6 0.047 46 132 0.9918 3.35 0.38 11.1 7 "white"
"2982" 6.6 0.56 0.16 3.1 0.045 28 92 0.994 3.12 0.35 9.1 6 "white"
"2993" 5.7 0.135 0.3 4.6 0.042 19 101 0.9946 3.31 0.42 9.3 6 "white"
"3000" 7.3 0.25 0.36 13.1 0.05 35 200 0.9986 3.04 0.46 8.9 7 "white"
"3006" 8.2 0.22 0.36 6.8 0.034 12 90 0.9944 3.01 0.38 10.5 8 "white"
"3017" 8.6 0.55 0.35 15.55 0.057 35.5 366.5 1.0001 3.04 0.63 11 3 "white"
"3020" 9.2 0.28 0.49 11.8 0.042 29 137 0.998 3.1 0.34 10.1 4 "white"
"3021" 6.2 0.18 0.49 4.5 0.047 17 90 0.9919 3.27 0.37 11.6 6 "white"
"3025" 6.8 0.22 0.49 0.9 0.052 26 128 0.991 3.25 0.35 11.4 6 "white"
"3035" 6.9 0.23 0.24 14.2 0.053 19 94 0.9982 3.17 0.5 9.6 5 "white"
"3037" 8.2 0.18 0.49 1.1 0.033 28 81 0.9923 3 0.68 10.4 7 "white"
"3052" 7.8 0.43 0.49 13 0.033 37 158 0.9955 3.14 0.35 11.3 6 "white"
"3058" 7.1 0.22 0.74 2.7 0.044 42 144 0.991 3.31 0.41 12.2 6 "white"
"3060" 8.5 0.17 0.74 3.6 0.05 29 128 0.9928 3.28 0.4 12.4 6 "white"
"3067" 7.1 0.25 0.49 3 0.03 30 96 0.9903 3.13 0.39 12.3 7 "white"
"3073" 7 0.2 0.49 5.9 0.038 39 128 0.9938 3.21 0.48 10.8 6 "white"
"3085" 7.4 0.28 0.49 1.5 0.034 20 126 0.9918 2.98 0.39 10.6 6 "white"
"3088" 6.5 0.26 0.74 13.3 0.044 68 224 0.9972 3.18 0.54 9.5 6 "white"
"3095" 7.6 0.29 0.49 9.6 0.03 45 197 0.9938 3.13 0.38 12.3 7 "white"
"3097" 6.8 0.27 0.49 1.2 0.044 35 126 0.99 3.13 0.48 12.1 7 "white"
"3099" 6.7 0.51 0.24 2.1 0.043 14 155 0.9904 3.22 0.6 13 6 "white"
"3101" 8.3 0.2 0.49 1.7 0.04 34 169 0.9938 3.05 0.37 10.1 5 "white"
"3105" 9.2 0.18 0.49 1.5 0.041 39 130 0.9945 3.04 0.49 9.8 7 "white"
"3121" 6.6 0.3 0.24 1.2 0.034 17 121 0.9933 3.13 0.36 9.2 5 "white"
"3123" 8 0.25 0.49 9 0.044 31 185 0.998 3.34 0.49 10 6 "white"
"3125" 7.2 0.27 0.74 12.5 0.037 47 156 0.9981 3.04 0.44 8.7 5 "white"
"3126" 14.2 0.27 0.49 1.1 0.037 33 156 0.992 3.15 0.54 11.1 6 "white"
"3127" 7.9 0.28 0.49 7.7 0.045 48 195 0.9954 3.04 0.55 11 6 "white"
"3129" 6.6 0.21 0.49 18.15 0.042 41 158 0.9997 3.28 0.39 8.7 6 "white"
"3135" 8.5 0.15 0.49 1.5 0.031 17 122 0.9932 3.03 0.4 10.3 6 "white"
"3139" 7.3 0.26 0.49 5 0.028 32 107 0.9936 3.24 0.54 10.8 6 "white"
"3141" 7.1 0.53 0.24 0.8 0.029 29 86 0.993 3.16 0.32 9.1 4 "white"
"3151" 6.6 0.19 0.99 1.2 0.122 45 129 0.9936 3.09 0.31 8.7 6 "white"
"3152" 7.3 0.21 0.49 1.8 0.038 44 152 0.9912 3.32 0.44 12.6 7 "white"
"3153" 6.9 0.3 0.49 7.6 0.057 25 156 0.9962 3.43 0.63 11 7 "white"
"3155" 6.9 0.24 0.49 1.3 0.032 35 148 0.9932 3.45 0.57 10.7 7 "white"
"3156" 7.6 0.23 0.49 10 0.036 45 182 0.9967 3.08 0.58 9.6 6 "white"
"3159" 8.8 0.35 0.49 1 0.036 14 56 0.992 2.96 0.33 10.5 4 "white"
"3162" 7.1 0.34 0.49 1.5 0.027 26 126 0.99 3.3 0.33 12.2 7 "white"
"3166" 7.6 0.18 0.49 18.05 0.046 36 158 0.9996 3.06 0.41 9.2 5 "white"
"3174" 8.5 0.17 0.49 8.8 0.048 23 108 0.9947 2.88 0.34 10.5 4 "white"
"3180" 9.8 0.31 0.49 15.4 0.046 13 119 1.0004 3.18 0.45 9.5 5 "white"
"3182" 8.4 0.24 0.49 7.4 0.039 46 108 0.9934 3.03 0.33 11.9 7 "white"
"3183" 6.4 0.18 0.74 11.9 0.046 54 168 0.9978 3.58 0.68 10.1 5 "white"
"3185" 7.3 0.3 0.74 13.5 0.039 46 165 0.9982 3.02 0.4 8.7 5 "white"
"3192" 6.8 0.21 0.74 1.2 0.047 25 111 0.9916 3.13 0.41 10.7 6 "white"
"3196" 6.6 0.55 0.01 2.7 0.034 56 122 0.9906 3.15 0.3 11.9 5 "white"
"3197" 6.4 0.27 0.49 7.3 0.046 53 206 0.9956 3.24 0.43 9.2 6 "white"
"3198" 6.3 0.24 0.74 1.4 0.172 24 108 0.9932 3.27 0.39 9.9 6 "white"
"3207" 5.8 0.19 0.49 4.9 0.04 44 118 0.9935 3.34 0.38 9.5 7 "white"
"3210" 7.5 0.32 0.49 1.7 0.031 44 109 0.9906 3.07 0.46 12.5 6 "white"
"3216" 6.9 0.34 0.49 7.3 0.045 61 206 0.9957 3.09 0.4 9 6 "white"
"3218" 6.4 0.37 0.49 13.3 0.045 53 243 0.9982 3.14 0.48 8.5 6 "white"
"3219" 6.2 0.22 0.49 6 0.029 31 128 0.9928 3.41 0.36 11.3 8 "white"
"3220" 7.8 0.26 0.49 3.2 0.027 28 87 0.9919 3.03 0.32 11.3 7 "white"
"3231" 8.2 0.2 0.49 3.5 0.057 14 108 0.9928 3.19 0.35 11.5 6 "white"
"3237" 8.1 0.12 0.49 1.2 0.042 43 160 0.9934 3.13 0.48 9.7 6 "white"
"3239" 7.9 0.22 0.49 3.8 0.042 26 105 0.993 3.1 0.39 10.5 5 "white"
"3244" 7.3 0.19 0.49 15.55 0.058 50 134 0.9998 3.42 0.36 9.1 7 "white"
"3251" 6.4 0.42 0.74 12.8 0.076 48 209 0.9978 3.12 0.58 9 6 "white"
"3252" 8.2 0.29 0.49 1 0.044 29 118 0.9928 3.24 0.36 10.9 4 "white"
"3260" 6.6 0.27 0.49 7.8 0.049 62 217 0.9959 3.17 0.45 9.4 6 "white"
"3263" 7.9 0.33 0.28 31.6 0.053 35 176 1.0103 3.15 0.38 8.8 6 "white"
"3266" 7.8 0.445 0.56 1 0.04 8 84 0.9938 3.25 0.43 10.8 5 "white"
"3282" 7.2 0.25 0.28 14.4 0.055 55 205 0.9986 3.12 0.38 9 7 "white"
"3296" 8.5 0.32 0.36 14.9 0.041 47 190 0.9982 3.08 0.31 10 6 "white"
"3298" 7 0.24 0.3 4.2 0.04 41 213 0.9927 3.28 0.49 11.8 6 "white"
"3301" 7.9 0.29 0.36 11.1 0.033 43 208 0.9969 3.14 0.46 10.3 5 "white"
"3304" 6.7 0.31 0.42 6.4 0.057 25 148 0.9955 3.16 0.45 9.6 5 "white"
"3309" 6.8 0.22 0.3 13.6 0.055 50 180 0.9984 3.44 0.39 9.8 5 "white"
"3310" 8.1 0.31 0.24 1.6 0.032 10 67 0.9924 3.08 0.47 10.5 5 "white"
"3313" 6.6 0.34 0.27 6.2 0.059 23 136 0.9957 3.3 0.49 10.1 6 "white"
"3314" 6.8 0.3 0.24 6.6 0.123 35 116 0.9953 3.07 0.48 9.4 5 "white"
"3329" 7.5 0.22 0.33 6.7 0.036 45 138 0.9939 3.2 0.68 11.4 6 "white"
"3333" 8.1 0.3 0.31 1.1 0.041 49 123 0.9914 2.99 0.45 11.1 6 "white"
"3336" 6.1 0.22 0.23 3.1 0.052 15 104 0.9948 3.14 0.42 8.7 5 "white"
"3345" 6.1 0.34 0.31 12 0.053 46 238 0.9977 3.16 0.48 8.6 5 "white"
"3348" 8 0.27 0.24 1.2 0.044 20 102 0.9929 3.28 0.42 10.9 5 "white"
"3350" 7.4 0.18 0.3 10.4 0.045 44 174 0.9966 3.11 0.57 9.7 6 "white"
"3355" 6.3 0.25 0.23 14.9 0.039 47 142 0.99705 3.14 0.35 9.7 6 "white"
"3360" 6.4 0.28 0.19 5.4 0.042 67 181 0.99435 3.31 0.35 10.2 6 "white"
"3363" 7.3 0.21 0.3 10.9 0.037 18 112 0.997 3.4 0.5 9.6 6 "white"
"3364" 6.7 0.27 0.25 8 0.053 54 202 0.9961 3.22 0.43 9.3 5 "white"
"3367" 7.4 0.32 0.22 1.7 0.051 50 179 0.9955 3.28 0.69 8.9 5 "white"
"3368" 6.6 0.37 0.07 1.4 0.048 58 144 0.9922 3.17 0.38 10 5 "white"
"3371" 6.5 0.18 0.26 1.4 0.041 40 141 0.9941 3.34 0.72 9.5 6 "white"
"3372" 7.8 0.4 0.26 9.5 0.059 32 178 0.9955 3.04 0.43 10.9 6 "white"
"3374" 6.9 0.19 0.28 3 0.054 33 99 0.9924 3.16 0.4 10.8 6 "white"
"3378" 6.4 0.15 0.36 1.8 0.034 43 150 0.9922 3.42 0.69 11 8 "white"
"3380" 8.4 0.17 0.31 5.4 0.052 47 150 0.9953 3.24 0.38 9.8 5 "white"
"3388" 8.2 0.36 0.29 7.6 0.035 37 122 0.9939 3.16 0.34 12 5 "white"
"3389" 7.8 0.2 0.24 1.6 0.026 26 189 0.991 3.08 0.74 12.1 7 "white"
"3390" 9.4 0.16 0.3 1.4 0.042 26 176 0.9954 3.15 0.46 9.1 5 "white"
"3396" 7.1 0.37 0.32 1.4 0.037 27 126 0.9918 3.19 0.62 12 5 "white"
"3398" 6.8 0.23 0.29 15.4 0.073 56 173 0.9984 3.06 0.41 8.7 6 "white"
"3402" 6.8 0.23 0.29 15.4 0.073 56 173 0.9984 3.06 0.41 8.7 6 "white"
"3419" 6.8 0.33 0.28 1.2 0.032 38 131 0.9889 3.19 0.41 13 6 "white"
"3421" 7.4 0.29 0.31 1.7 0.035 23 110 0.9926 3.07 0.38 10.9 5 "white"
"3423" 7.3 0.19 0.24 6.3 0.054 34 231 0.9964 3.36 0.54 10 6 "white"
"3426" 6.5 0.32 0.12 11.5 0.033 35 165 0.9974 3.22 0.32 9 5 "white"
"3434" 6.4 0.21 0.3 5.6 0.044 43 160 0.9949 3.6 0.41 10.6 6 "white"
"3445" 7.4 0.44 0.2 11.5 0.049 44 157 0.998 3.27 0.44 9 5 "white"
"3464" 7.1 0.25 0.3 2.4 0.042 25 122 0.994 3.43 0.61 10.5 6 "white"
"3473" 5.8 0.33 0.2 16.05 0.047 26 166 0.9976 3.09 0.46 8.9 5 "white"
"3477" 8 0.2 0.36 1.2 0.032 21 78 0.9921 3.08 0.37 10.4 6 "white"
"3487" 7.3 0.24 0.41 13.6 0.05 41 178 0.9988 3.37 0.43 9.7 5 "white"
"3499" 6.7 0.44 0.31 1.9 0.03 41 104 0.99 3.29 0.62 12.6 7 "white"
"3504" 7.9 0.26 0.33 10.3 0.039 73 212 0.9969 2.93 0.49 9.5 6 "white"
"3505" 7.5 0.29 0.67 8.1 0.037 53 166 0.9966 2.9 0.41 8.9 6 "white"
"3509" 7.6 0.13 0.34 9.3 0.062 40 126 0.9966 3.21 0.39 9.6 5 "white"
"3512" 7.9 0.3 0.27 8.5 0.036 20 112 0.9939 2.96 0.46 11.7 6 "white"
"3522" 7 0.12 0.19 4.9 0.055 27 127 0.9953 3.29 0.41 9.4 5 "white"
"3524" 7.6 0.26 0.36 1.6 0.032 6 106 0.993 3.15 0.4 10.4 4 "white"
"3525" 6.3 0.2 0.58 1.4 0.204 15 97 0.9931 3.16 0.43 10 6 "white"
"3527" 7.1 0.25 0.28 1.6 0.052 46 169 0.9926 3.05 0.41 10.5 5 "white"
"3528" 7 0.27 0.32 6.8 0.047 47 193 0.9938 3.23 0.39 11.4 6 "white"
"3532" 9.2 0.71 0.23 6.2 0.042 15 93 0.9948 2.89 0.34 10.1 6 "white"
"3549" 6.7 0.31 0.44 6.7 0.054 29 160 0.9952 3.04 0.44 9.6 5 "white"
"3554" 8 0.25 0.13 17.2 0.036 49 219 0.9996 2.96 0.46 9.7 5 "white"
"3555" 6.4 0.29 0.28 11.1 0.063 66 169 0.9973 2.89 0.57 9 5 "white"
"3562" 8.2 0.21 0.48 1.4 0.041 11 99 0.9958 3.17 0.57 9.9 5 "white"
"3570" 8.3 0.49 0.43 2.5 0.036 32 116 0.9944 3.23 0.47 10.7 6 "white"
"3575" 6.8 0.27 0.35 7.8 0.048 76 197 0.9959 3.24 0.43 9.5 6 "white"
"3584" 7.6 0.2 0.3 14.2 0.056 53 212.5 0.999 3.14 0.46 8.9 8 "white"
"3586" 7.6 0.16 0.41 1.9 0.047 27 151 0.9937 3.2 0.53 10.1 6 "white"
"3589" 7.1 0.33 0.3 3.3 0.034 30 102 0.9912 3.08 0.31 12.3 7 "white"
"3596" 7 0.28 0.33 14.6 0.043 47 168 0.9994 3.34 0.67 8.8 6 "white"
"3597" 8.4 0.2 0.38 11.8 0.055 51 170 1.0004 3.34 0.82 8.9 6 "white"
"3600" 6.8 0.31 0.09 1.4 0.04 56 145 0.9922 3.19 0.46 10 5 "white"
"3604" 7.4 0.26 0.31 2.4 0.043 58 178 0.9941 3.42 0.68 10.6 6 "white"
"3625" 7.5 0.3 0.71 1.3 0.16 44 149 0.9948 3.08 0.42 8.9 5 "white"
"3629" 7.6 0.34 0.39 7.6 0.04 45 215 0.9965 3.11 0.53 9.2 6 "white"
"3630" 9.5 0.42 0.41 2.3 0.034 22 145 0.9951 3.06 0.52 11 6 "white"
"3635" 8.8 0.2 0.28 1.1 0.018 18 72 0.9926 2.97 0.35 10.4 5 "white"
"3653" 8.6 0.485 0.29 4.1 0.026 19 101 0.9918 3.01 0.38 12.4 5 "white"
"3654" 8.6 0.485 0.29 4.1 0.026 19 101 0.9918 3.01 0.38 12.4 5 "white"
"3658" 7.3 0.29 0.37 8.3 0.044 45 227 0.9966 3.12 0.47 9 5 "white"
"3677" 7 0.22 0.39 2.1 0.055 39 198 0.9951 3.52 0.54 10.2 6 "white"
"3678" 5.9 0.17 0.3 1.4 0.042 25 119 0.9931 3.68 0.72 10.5 6 "white"
"3688" 8.7 0.15 0.3 1.6 0.046 29 130 0.9942 3.22 0.38 9.8 6 "white"
"3689" 7.9 0.17 0.32 1.6 0.053 47 150 0.9948 3.29 0.76 9.6 6 "white"
"3692" 5.3 0.76 0.03 2.7 0.043 27 93 0.9932 3.34 0.38 9.2 5 "white"
"3693" 6.6 0.22 0.53 15.1 0.052 22 136 0.9986 2.94 0.35 9.4 5 "white"
"3699" 6 0.16 0.3 6.7 0.043 43 153 0.9951 3.63 0.46 10.6 5 "white"
"3701" 6.8 0.28 0.35 2.3 0.042 16 85 0.9906 3.19 0.56 12.4 6 "white"
"3702" 6.2 0.34 0.3 11.1 0.047 28 237 0.9981 3.18 0.49 8.7 5 "white"
"3704" 6 0.16 0.3 6.7 0.043 43 153 0.9951 3.63 0.46 10.6 5 "white"
"3711" 6.5 0.22 0.25 17.1 0.05 44 138 1.0001 3.3 0.37 8.8 5 "white"
"3713" 5.7 0.33 0.15 1.9 0.05 20 93 0.9934 3.38 0.62 9.9 5 "white"
"3715" 6.5 0.22 0.25 17.1 0.05 44 138 1.0001 3.3 0.37 8.8 5 "white"
"3717" 7.7 0.26 0.32 1.2 0.04 26 117 0.993 3.21 0.56 10.8 5 "white"
"3719" 8 0.16 0.36 1.5 0.033 14 122 0.9941 3.2 0.39 10.3 4 "white"
"3724" 7.7 0.39 0.28 4.9 0.035 36 109 0.9918 3.19 0.58 12.2 7 "white"
"3728" 5.9 0.5 0.05 2.6 0.054 36 146 0.9948 3.43 0.5 9.2 6 "white"
"3735" 7.2 0.16 0.26 7.1 0.054 41 224 0.9966 3.38 0.55 10.1 5 "white"
"3737" 7.2 0.16 0.26 7.1 0.054 41 224 0.9966 3.38 0.55 10.1 5 "white"
"3743" 6.5 0.14 0.32 2.7 0.037 18 89 0.9924 3.4 0.74 11.5 7 "white"
"3749" 6.8 0.24 0.34 5.1 0.038 31 99 0.9921 3.24 0.46 11.8 6 "white"
"3758" 7.4 0.18 0.27 1.3 0.048 26 105 0.994 3.52 0.66 10.6 6 "white"
"3761" 6.8 0.37 0.28 4 0.03 29 79 0.99 3.23 0.46 12.4 7 "white"
"3762" 9.9 0.49 0.23 2.4 0.087 19 115 0.9948 2.77 0.44 9.4 6 "white"
"3767" 7.4 0.19 0.3 12.8 0.053 48.5 229 0.9986 3.14 0.49 9.1 7 "white"
"3769" 7.4 0.19 0.3 12.8 0.053 48.5 229 0.9986 3.14 0.49 9.1 7 "white"
"3771" 7.4 0.19 0.3 12.8 0.053 48.5 229 0.9986 3.14 0.49 9.1 7 "white"
"3773" 7.6 0.32 0.58 16.75 0.05 43 163 0.9999 3.15 0.54 9.2 5 "white"
"3776" 6.9 0.32 0.13 7.8 0.042 11 117 0.996 3.23 0.37 9.2 5 "white"
"3779" 7.7 0.24 0.31 1.3 0.047 33 106 0.993 3.22 0.55 10.8 6 "white"
"3781" 7.4 0.29 0.25 3.8 0.044 30 114 0.992 3.11 0.4 11 6 "white"
"3784" 6.4 0.33 0.24 9.8 0.041 29 109 0.9956 3.29 0.47 10.1 6 "white"
"3785" 7.5 0.18 0.31 11.7 0.051 24 94 0.997 3.19 0.44 9.5 7 "white"
"3788" 6.4 0.18 0.32 9.6 0.052 24 90 0.9963 3.35 0.49 9.4 6 "white"
"3792" 7.9 0.28 0.41 4.9 0.058 31 153 0.9966 3.27 0.51 9.7 6 "white"
"3799" 6.6 0.25 0.42 11.3 0.049 77 231 0.9966 3.24 0.52 9.5 6 "white"
"3809" 7 0.32 0.35 1.5 0.039 24 125 0.9918 3.17 0.64 12.2 6 "white"
"3819" 6.5 0.24 0.36 2.2 0.027 36 134 0.9898 3.28 0.36 12.5 7 "white"
"3830" 7.1 0.2 0.36 11.6 0.042 45 124 0.997 2.92 0.59 9.5 7 "white"
"3835" 6.9 0.44 0.42 8.5 0.048 10 147 0.9974 3.32 0.46 9.5 6 "white"
"3842" 6.1 0.23 0.45 10.6 0.094 49 169 0.99699 3.05 0.54 8.8 5 "white"
"3849" 6.3 0.27 0.18 7.7 0.048 45 186 0.9962 3.23 0.47 9 5 "white"
"3850" 9.2 0.34 0.54 17.3 0.06 46 235 1.00182 3.08 0.61 8.8 6 "white"
"3851" 7.4 0.18 0.29 1.4 0.042 34 101 0.99384 3.54 0.6 10.5 7 "white"
"3857" 7.2 0.39 0.54 1.4 0.157 34 132 0.99449 3.11 0.53 9 6 "white"
"3862" 8.5 0.25 0.31 2.8 0.032 11 61 0.99189 3.06 0.44 11.5 6 "white"
"3863" 6.9 0.3 0.21 15.7 0.056 49 159 0.99827 3.11 0.48 9 5 "white"
"3864" 6.6 0.19 0.43 10.9 0.045 53 154 0.99752 3.52 0.77 10.4 6 "white"
"3880" 6.4 0.16 0.25 1.3 0.047 20 77 0.9933 3.61 0.54 10.2 6 "white"
"3890" 7.4 0.18 0.24 1.4 0.047 21 106 0.99383 3.52 0.64 10.5 7 "white"
"3901" 6.6 0.22 0.28 12.05 0.058 25 125 0.99856 3.45 0.45 9.4 5 "white"
"3904" 7.5 0.42 0.2 1.4 0.06 15 168 0.9944 3.06 0.4 9.4 6 "white"
"3907" 6.8 0.21 0.55 14.6 0.053 34 159 0.99805 2.93 0.44 9.2 5 "white"
"3909" 8.1 0.28 0.34 1.3 0.035 11 126 0.99232 3.14 0.5 9.8 6 "white"
"3911" 7 0.22 0.26 2.8 0.036 44 132 0.99078 3.34 0.41 12 7 "white"
"3917" 7.5 0.24 0.62 10.6 0.045 51 153 0.99779 3.16 0.44 8.8 5 "white"
"3921" 4.6 0.445 0 1.4 0.053 11 178 0.99426 3.79 0.55 10.2 5 "white"
"3924" 6.9 0.3 0.21 7.2 0.045 54 190 0.99595 3.22 0.48 9.4 5 "white"
"3932" 6.3 0.4 0.32 10.6 0.049 38 209 0.9981 3.47 0.59 9.3 6 "white"
"3941" 7.2 0.34 0.3 8.4 0.051 40 167 0.99756 3.48 0.62 9.7 5 "white"
"3948" 8.3 0.26 0.31 2 0.029 14 141 0.99077 2.95 0.77 12.2 6 "white"
"3949" 7.9 0.46 0.4 10.1 0.168 19 184 0.99782 3.06 0.62 9.5 5 "white"
"3960" 8.1 0.25 0.34 10.1 0.05 30 121 0.99724 3.17 0.49 10.1 6 "white"
"3961" 8.2 0.25 0.46 3.75 0.05 14 102 0.99524 3.28 0.58 9.7 5 "white"
"3967" 7.2 0.3 0.3 8.1 0.05 40 188 0.99652 3.15 0.49 9.1 6 "white"
"3972" 6 0.33 0.18 3 0.036 5 85 0.99125 3.28 0.4 11.5 4 "white"
"3974" 7.2 0.2 0.3 2 0.039 43 188 0.9911 3.3 0.41 12 6 "white"
"3977" 7 0.22 0.29 8.9 0.05 24 90 0.99556 3.29 0.46 9.8 6 "white"
"3980" 6.4 0.27 0.19 1.9 0.085 21 196 0.99516 3.49 0.64 9.5 4 "white"
"3981" 7 0.23 0.42 5.1 0.042 37 144 0.99518 3.5 0.59 10.2 6 "white"
"3985" 7.6 0.2 0.68 12.9 0.042 56 160 0.99841 3.05 0.41 8.7 5 "white"
"3990" 7 0.28 0.26 1.7 0.042 34 130 0.9925 3.43 0.5 10.7 8 "white"
"3997" 6.5 0.19 0.27 4.9 0.037 13 101 0.9916 3.17 0.41 11.8 6 "white"
"3998" 8 0.36 0.39 1.6 0.024 26 93 0.99116 3.15 0.49 11.9 6 "white"
"4005" 6.6 0.23 0.18 8.5 0.044 59 188 0.99558 3.16 0.49 9.5 5 "white"
"4022" 6.2 0.44 0.18 7.7 0.096 28 210 0.99771 3.56 0.72 9.2 5 "white"
"4024" 6.2 0.44 0.18 7.7 0.096 28 210 0.99771 3.56 0.72 9.2 5 "white"
"4033" 7.4 0.35 0.2 13.9 0.054 63 229 0.99888 3.11 0.5 8.9 6 "white"
"4038" 6.9 0.43 0.28 9.4 0.056 29 183 0.99594 3.17 0.43 9.4 5 "white"
"4046" 6.6 0.32 0.33 2.5 0.052 40 210 0.99316 3.15 0.6 10 5 "white"
"4052" 7.3 0.19 0.27 1.6 0.027 35 136 0.99248 3.38 0.54 11 7 "white"
"4053" 6.3 0.2 0.26 1.6 0.027 36 141 0.99268 3.53 0.56 10.8 6 "white"
"4060" 6.6 0.33 0.24 16.05 0.045 31 147 0.99822 3.08 0.52 9.2 5 "white"
"4062" 8.3 0.25 0.33 2.5 0.053 12 72 0.99404 2.89 0.48 9.5 5 "white"
"4067" 7 0.28 0.32 1.7 0.038 27 128 0.99375 3.2 0.62 10.2 6 "white"
"4068" 5.2 0.16 0.34 0.8 0.029 26 77 0.99155 3.25 0.51 10.1 6 "white"
"4070" 7.6 0.25 0.34 1.3 0.056 34 176 0.99434 3.1 0.51 9.5 5 "white"
"4074" 6.1 0.27 0.31 1.5 0.035 17 83 0.99076 3.32 0.44 11.1 7 "white"
"4075" 7.4 0.56 0.09 1.5 0.071 19 117 0.99496 3.22 0.53 9.8 5 "white"
"4079" 6.6 0.24 0.3 13 0.052 18 143 0.99825 3.37 0.49 9.4 6 "white"
"4097" 6.8 0.21 0.36 18.1 0.046 32 133 1 3.27 0.48 8.8 5 "white"
"4101" 6.4 0.31 0.4 6.4 0.039 39 191 0.99513 3.14 0.52 9.8 5 "white"
"4103" 8.6 0.34 0.36 1.4 0.045 11 119 0.99556 3.17 0.47 9.4 4 "white"
"4117" 7.3 0.51 0.29 11.3 0.034 61 224 0.99683 3.14 0.56 9.5 6 "white"
"4118" 7.1 0.12 0.3 3.1 0.018 15 37 0.99004 3.02 0.52 11.9 7 "white"
